,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
118,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,993635,https://open.spotify.com/track/7COGuXyTr12KvdaYXMqheC
119,"Before You Go","Lewis Capaldi",991197,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
120,"Roses - Imanbek Remix","SAINt JHN",987640,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
121,Believer,"Imagine Dragons",979099,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
122,"Se Me Olvidó","Gera MX",972305,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
123,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",969790,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
124,"Ram Pam Pam","Natti Natasha",969366,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
125,"Talking to the Moon","Bruno Mars",964601,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
126,"Hold On","Justin Bieber",959521,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
127,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",952888,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
128,"Shape of You","Ed Sheeran",950165,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
129,"Sal y Perrea",Sech,947922,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
130,Streets,"Doja Cat",943411,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
131,Perfect,"Ed Sheeran",936402,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
132,Señorita,"Shawn Mendes",923249,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
133,MORENA,"Luan Santana",923153,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
134,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,910282,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
135,"LA NOCHE DE ANOCHE","Bad Bunny",907497,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
136,"you broke me first","Tate McRae",906413,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
137,Cúrame,"Rauw Alejandro",898021,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
138,"Como Si No Importara",Emilia,897920,https://open.spotify.com/track/1GYJpuLq41vEVKXiHGEY9j
139,"Smells Like Teen Spirit",Nirvana,896916,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
140,"The Nights",Avicii,896202,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
141,Reckless,"Madison Beer",891420,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
142,Heather,"Conan Gray",890496,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
143,Riptide,"Vance Joy",883706,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
144,"Little Bit of Love","Tom Grennan",881763,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
145,"From The Garden (feat. Lil Uzi Vert)","Isaiah Rashad",880404,https://open.spotify.com/track/3Dah4SWoWwekrG4GShaHVP
146,"2:50 Remix",MYA,880209,https://open.spotify.com/track/74znaWw1hmQBusGPSOuTFy
147,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,870663,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
148,Memories,"Maroon 5",864040,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
149,"Paradise (feat. Dermot Kennedy)",MEDUZA,863670,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
150,Hawái,Maluma,862979,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
151,"bad guy","Billie Eilish",860542,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
152,"Wasted Love (feat. Lagique)",Ofenbach,855683,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
153,"Bohemian Rhapsody - Remastered 2011",Queen,855103,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
154,"Take Me To Church",Hozier,854233,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
155,"Aquelas Coisas","João Gomes",851330,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
156,"Here's Your Perfect","Jamie Miller",846311,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
157,Shallow,"Lady Gaga",844717,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
158,"Daddy Issues","The Neighbourhood",841926,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
159,Pain,PinkPantheress,838565,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
160,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",837254,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
161,goosebumps,"Travis Scott",832543,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
162,"Counting Stars",OneRepublic,826612,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
163,"enough for you","Olivia Rodrigo",825625,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
164,"Ficha Limpa","Gusttavo Lima",825450,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
165,"By Your Side (feat. Tom Grennan)","Calvin Harris",824836,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
166,"Wake Me Up",Avicii,821057,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
167,Bandido,"Myke Towers",819701,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
168,"Another Love","Tom Odell",818528,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
169,Yellow,Coldplay,816541,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
170,"Fancy Like","Walker Hayes",815087,https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
171,"Se For Amor","João Gomes",810911,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
172,"ALMAS GEMELAS","Myke Towers",809121,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
173,"Mr. Brightside","The Killers",804102,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
174,"KESI - Remix",Camilo,802660,https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy
175,"Clash (feat. Stormzy)",Dave,800368,https://open.spotify.com/track/2zxEc1GCSCxbHIXTfhraRC
176,Up,"Cardi B",799099,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
177,"Cover Me In Sunshine",P!nk,798044,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
178,"WAP (feat. Megan Thee Stallion)","Cardi B",796389,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
179,"Ramenez la coupe à la maison",Vegedream,795219,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
180,34+35,"Ariana Grande",793970,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
181,"Chosen (feat. Ty Dolla $ign)",Blxst,792931,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
182,"Baby Me Atende","Matheus Fernandes",791787,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
183,"Dreams - 2004 Remaster","Fleetwood Mac",791729,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
184,"What You Know Bout Love","Pop Smoke",791520,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
185,"Tell Em",Cochise,787730,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
186,"Never Going Home",Kungs,782946,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
187,"Say You Won't Let Go","James Arthur",779792,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
188,"Lucid Dreams","Juice WRLD",777457,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
189,"Ball If I Want To",DaBaby,773725,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
190,"Another One Bites The Dust - Remastered 2011",Queen,773597,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
191,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",773442,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
192,Runaway,AURORA,773022,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
193,"Every Breath You Take","The Police",772535,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
194,"Calling My Phone","Lil Tjay",766620,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
195,"Red Light Green Light",DaBaby,763964,https://open.spotify.com/track/1YDebgap5OFwXEBG18NJvy
196,"Adore You","Harry Styles",759642,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
197,"Better Days","Dermot Kennedy",757394,https://open.spotify.com/track/2vCKQ9NNCTXoAF8ltW0Zv9
198,"Não, Não Vou","Mari Fernandez",757324,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
199,"One Dance",Drake,757164,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
200,"The Real Slim Shady",Eminem,752269,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
